Date,Close,High,Low,Open,Volume
1990-12-24,12.7719,12.8971,12.7719,12.8971,9240
1990-12-26,12.7093,12.8345,12.7093,12.7719,27720
1990-12-27,12.5215,12.7719,12.5215,12.7093,770
1990-12-28,12.6467,12.8345,12.6467,12.6467,9900
1990-12-31,12.7093,12.8971,12.7093,12.7093,14520
1991-01-02,12.8345,13.0223,12.8345,12.8345,5940
1991-01-03,12.8971,13.1475,12.8971,12.8971,3520
1991-01-04,13.0223,13.2728,13.0223,13.0223,2640
1991-01-07,12.7093,12.8971,12.7093,12.8971,13860
1991-01-08,12.5841,12.7093,12.5841,12.7093,5610
1991-01-09,12.271,12.5215,12.271,12.5215,13640
1991-01-10,12.7093,12.8971,12.7093,12.7093,880
1991-01-11,13.0849,13.2728,13.0849,13.0849,2860
1991-01-14,12.7719,12.9597,12.7719,12.9597,3300
1991-01-15,12.7093,12.8345,12.7093,12.7719,1100
1991-01-16,12.5215,12.7093,12.5215,12.7093,3190
1991-01-17,13.8988,14.0866,13.8988,13.8988,32890
1991-01-18,13.5858,13.8362,13.5858,13.8362,2860
1991-01-21,13.0223,13.2101,13.0223,13.2101,5830
1991-01-22,12.9597,13.1475,12.9597,13.0223,220
1991-01-23,13.1475,13.2728,13.1475,13.1475,13420
1991-01-24,13.398,13.5232,13.398,13.398,5280
1991-01-25,13.1475,13.2728,13.1475,13.2728,3080
1991-01-28,13.1475,13.3354,13.1475,13.1475,4730
1991-01-29,13.1475,13.2728,13.1475,13.1475,7150
1991-01-30,13.2101,13.2728,13.2101,13.2101,14410
1991-01-31,13.2101,13.2728,13.2101,13.2101,1320
1991-02-01,13.0849,13.2101,13.0849,13.2101,1100
1991-02-04,13.2101,13.2728,13.2101,13.2101,28270
1991-02-05,13.2728,13.398,13.2728,13.2728,35530
1991-02-06,13.398,13.5232,13.398,13.398,20900
1991-02-07,13.2728,13.398,13.2728,13.398,7370
1991-02-08,13.5232,13.6484,13.5232,13.5232,32340
1991-02-11,13.711,13.8988,13.711,13.711,16390
1991-02-12,13.4606,13.5858,13.4606,13.5858,15290
1991-02-13,13.5232,13.6484,13.5232,13.5232,40590
1991-02-14,13.4606,13.5858,13.4606,13.5232,32890
1991-02-15,14.024,14.2119,14.024,14.024,8360
1991-02-19,13.8988,14.024,13.8988,14.024,13970
1991-02-20,13.7736,13.8988,13.7736,13.8988,52470
1991-02-21,13.7736,13.8988,13.7736,13.7736,43340
1991-02-22,13.5232,13.711,13.5232,13.711,49390
1991-02-25,13.6484,13.7736,13.6484,13.6484,24420
1991-02-26,13.6484,13.7736,13.6484,13.6484,23760
1991-02-27,13.8362,13.9614,13.8362,13.8362,22220
1991-02-28,13.8362,13.9614,13.8362,13.8362,16940
1991-03-01,13.711,13.8362,13.711,13.8362,12430
1991-03-04,13.711,13.8362,13.711,13.711,5500
1991-03-05,13.711,13.8362,13.711,13.711,17930
1991-03-06,14.1493,14.2119,14.1493,14.1493,21230
1991-03-07,14.0867,14.2119,14.0867,14.1493,25960
1991-03-08,14.2745,14.3997,14.2745,14.2745,6710
1991-03-11,13.9614,14.0867,13.9614,14.0867,3960
1991-03-12,14.1493,14.2119,14.1493,14.1493,8690
1991-03-13,14.0867,14.2119,14.0867,14.1493,26950
1991-03-14,14.2119,14.3371,14.2119,14.2119,18480
1991-03-15,14.0867,14.2745,14.0867,14.2119,27280
1991-03-18,13.9614,14.2119,13.9614,14.0867,1980
1991-03-19,13.6484,13.7736,13.6484,13.7736,41910
1991-03-20,13.711,13.8988,13.711,13.711,3630
1991-03-21,13.8362,14.024,13.8362,13.8362,14520
1991-03-22,13.398,13.5858,13.398,13.5858,5830
1991-03-25,13.3354,13.4606,13.3354,13.398,8910
1991-03-26,13.3354,13.398,13.3354,13.3354,11660
1991-03-27,13.1475,13.398,13.1475,13.3354,4180
1991-03-28,12.8971,13.0849,12.8971,13.0849,2750
1991-04-01,13.0223,13.1475,13.0223,13.0223,60170
1991-04-02,13.398,13.5858,13.398,13.398,12430
1991-04-03,13.5858,13.711,13.5858,13.5858,28710
1991-04-04,13.7736,14.024,13.7736,13.7736,28380
1991-04-05,13.5232,13.7736,13.5232,13.7736,34980
1991-04-08,13.5232,13.6484,13.5232,13.5232,27610
1991-04-09,13.4606,13.6484,13.4606,13.5232,49720
1991-04-10,13.2728,13.4606,13.2728,13.4606,124190
1991-04-11,13.398,13.5858,13.398,13.398,2640
1991-04-12,13.4606,13.5858,13.4606,13.4606,1980
1991-04-15,13.5858,13.7736,13.5858,13.5858,1760
1991-04-16,13.5232,13.711,13.5232,13.5858,770
1991-04-18,13.3354,13.5232,13.3354,13.5232,2090
1991-04-19,13.2728,13.4606,13.2728,13.3354,2090
1991-04-22,12.8971,13.0849,12.8971,13.0849,7040
1991-04-23,13.2728,13.4606,13.2728,13.2728,1870
1991-04-24,13.2101,13.398,13.2101,13.2728,3190
1991-04-25,12.9597,13.1475,12.9597,13.1475,0
1991-04-26,13.0849,13.2728,13.0849,13.0849,660
1991-04-29,13.1475,13.3354,13.1475,13.1475,1320
1991-04-30,13.398,13.5858,13.398,13.398,7480
1991-05-01,13.5232,13.5858,13.5232,13.5232,5170
1991-05-02,13.5858,13.6484,13.5858,13.5858,7040
1991-05-03,13.4606,13.6484,13.4606,13.5858,6270
1991-05-06,13.4606,13.6484,13.4606,13.4606,3520
1991-05-07,13.4606,13.6484,13.4606,13.4606,35860
1991-05-08,13.2728,13.3354,13.2728,13.3354,8690
1991-05-09,13.2101,13.3354,13.2101,13.2728,12540
1991-05-10,13.0223,13.1475,13.0223,13.1475,7040
1991-05-13,12.9597,13.0223,12.9597,13.0223,13310
1991-05-14,12.9597,13.0849,12.9597,12.9597,3190
1991-05-15,13.0223,13.2101,13.0223,13.0223,1430
1991-05-16,13.0849,13.2101,13.0849,13.0849,25630
1991-05-17,12.9597,13.0849,12.9597,13.0849,12870
1991-05-20,12.8971,13.0223,12.8971,12.9597,5170
1991-05-21,13.0849,13.1475,13.0849,13.0849,15180
1991-05-22,13.0223,13.0849,13.0223,13.0849,8800
1991-05-23,12.9597,13.0223,12.9597,13.0223,14740
1991-05-24,13.0223,13.1475,13.0223,13.0223,23100
1991-05-28,13.0223,13.1475,13.0223,13.0223,55000
1991-05-29,13.0223,13.1475,13.0223,13.0223,8360
1991-05-30,13.0223,13.1475,13.0223,13.0223,13860
1991-05-31,13.0223,13.1475,13.0223,13.0223,1320
1991-06-03,13.0223,13.1475,13.0223,13.0223,2420
1991-06-04,13.0223,13.1475,13.0223,13.0223,3740
1991-06-05,12.8971,13.0223,12.8971,13.0223,7590
1991-06-06,12.8971,13.0223,12.8971,12.8971,17270
1991-06-07,12.8345,12.9597,12.8345,12.8971,8800
1991-06-10,12.5841,12.6467,12.5841,12.6467,13860
1991-06-11,12.6467,12.7719,12.6467,12.6467,40700
1991-06-12,12.6467,12.7719,12.6467,12.6467,4070
1991-06-13,13.0223,13.1475,13.0223,13.0223,16170
1991-06-14,13.0849,13.1475,13.0849,13.0849,18700
1991-06-17,12.8971,13.0223,12.8971,13.0223,16060
1991-06-18,12.8345,12.9597,12.8345,12.8971,12980
1991-06-19,12.8345,12.9597,12.8345,12.8345,3960
1991-06-20,13.0849,13.1475,13.0849,13.0849,3190
1991-06-21,11.8954,12.0832,11.8954,12.0832,9680
1991-06-24,11.5824,11.7076,11.5824,11.7076,2970
1991-06-25,13.2227,13.3604,13.2227,13.2227,21300
1991-06-26,13.0161,13.1538,13.0161,13.1538,9500
1991-06-27,13.1538,13.2915,13.1538,13.1538,8100
1991-06-28,13.0849,13.1538,13.0849,13.1538,4900
1991-07-01,13.2227,13.4293,13.2227,13.2227,6700
1991-07-02,13.2915,13.3604,13.2915,13.2915,5900
1991-07-03,12.8095,13.0161,12.8095,13.0161,13000
1991-07-05,12.9472,13.0849,12.9472,12.9472,7900
1991-07-08,12.9472,13.0161,12.9472,12.9472,7200
1991-07-09,13.2227,13.3604,13.2227,13.2227,21600
1991-07-10,13.2915,13.4293,13.2915,13.2915,7600
1991-07-11,13.2915,13.4293,13.2915,13.2915,5200
1991-07-12,13.4981,13.6359,13.4981,13.4981,16800
1991-07-15,13.4981,13.567,13.4981,13.4981,10600
1991-07-16,13.4293,13.4981,13.4293,13.4981,8000
1991-07-17,13.2915,13.3604,13.2915,13.3604,29200
1991-07-18,13.1538,13.2915,13.1538,13.2915,8700
1991-07-19,13.2227,13.2915,13.2227,13.2227,14000
1991-07-22,13.0161,13.1538,13.0161,13.1538,29700
1991-07-23,13.0849,13.2227,13.0849,13.0849,7200
1991-07-24,13.1538,13.2915,13.1538,13.1538,13500
1991-07-25,12.9472,13.0849,12.9472,13.0849,1900
1991-07-26,13.0849,13.2227,13.0849,13.0849,2900
1991-07-29,13.0161,13.1538,13.0161,13.0849,5800
1991-07-30,13.1538,13.2227,13.1538,13.1538,15500
1991-07-31,13.1538,13.2227,13.1538,13.1538,8700
1991-08-01,13.0161,13.2227,13.0161,13.1538,8200
1991-08-02,13.1538,13.2915,13.1538,13.1538,15200
1991-08-05,13.1538,13.2915,13.1538,13.1538,3000
1991-08-06,13.2227,13.4293,13.2227,13.2227,33800
1991-08-07,13.1538,13.2227,13.1538,13.2227,74900
1991-08-08,13.1538,13.2915,13.1538,13.1538,20500
1991-08-09,13.0161,13.1538,13.0161,13.1538,50300
1991-08-12,12.9472,13.0161,12.9472,13.0161,23300
1991-08-13,12.8783,13.0161,12.8783,12.9472,35700
1991-08-14,12.8095,12.9472,12.8095,12.8783,30900
1991-08-15,12.6029,12.7406,12.6029,12.7406,35600
1991-08-16,12.3274,12.4651,12.3274,12.4651,17900
1991-08-19,11.8453,11.983,11.8453,11.983,83000
